{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '今天下午起来看到外面的太阳。。。。我第一反应竟然是强烈的想回家泪想我们一起在嘉鱼个时候了。。。。有好多好多的话想对你说李巾凡想要瘦瘦瘦成李帆我是想切开云朵的心', 'entities': '人物：李巾凡、李帆\n地名：嘉鱼\n位置：外面'}
{'text': '三十年前，老爹带我来这里开会，今天打了个颠倒。我在这里', 'entities': '人物：老爹，我\n地名：这里\n机构：会议\n位置：不确定，需要上下文补充'}
{'text': '人生如戏，导演是自己蜡烛', 'entities': '人物：自己\n地名：无\n机构：无\n位置：无'}
{'text': '最热时尚榜女人不坏，男人不爱，一个男女必看的微博花心', 'entities': '人物：女人、男人\n地名：无\n机构：微博\n位置：无'}
{'text': '我参与了南都深圳读本发起的投票涨薪最慢十大行业，有你吗？，我投给了不上榜同样杯具这个选项。你也快来表态吧：', 'entities': '人物：我\n地名：南都、深圳\n机构：南都深圳读本\n位置：不确定，可能是深圳或者南都的某个地方。'}
{'text': '一切表明素质，道德决定一切央视新闻海豚走了海豚送医后，由于呛水严重于昨晚点死亡。', 'entities': '人物：无\n地名：央视新闻\n机构：无\n位置：未提及'}
{'text': '曾若彤璐骑单车的少年要考驾照驰鸣天下苦逼青年杨素晗不屑与你装霄', 'entities': '人物：曾若彤璐、少年、杨素晗、你\n地名：天下\n机构：无\n位置：无'}
{'text': '程仁田达晨创投汗戴哈哈', 'entities': '人物：程仁田、汗戴哈哈\n机构：达晨创投\n位置：无法确定'}
{'text': '倩萍小姐胡小亭转闲置还有天就开奖啦小亭会专程去深圳为你们寄奖品大家加油转发哦', 'entities': '人物：倩萍小姐，胡小亭\n地名：深圳\n机构：无\n位置：未提及'}
{'text': '美得呀〜顾天池苦逼青年杨素晗旻日记肖立伟嘻嘻嘻嘻嘻嘻美啊', 'entities': '人物：顾天池、杨素晗、肖立伟\n地名：无\n机构：无\n位置：无'}
{'text': '乘机撇下熊孩子们出去玩哈哈哈哈哈哈赞啊赞啊凡先生今天，和为了给哥哥们加油去了伦敦。和为准备了什么样的惊喜呢？请大家期待哦〜', 'entities': '人物：凡先生、哥哥们、和为\n地名：伦敦\n机构：无\n位置：不确定，可能是在机场或者在出发前的某个地方。'}
{'text': '左右拿什么拯救你我的右脑京大蠢左右还真是平衡啊米曹米羔九九号大展见卧槽郁川月百年夜行重置子宫野霜曜一帆开门我来送水了有妹子了不起啊冯基杂碎跪下左右右脑都快开发完了左脑还没开始实', 'entities': '人物：米曹米羔、郁川月、野霜曜、冯基杂碎\n地名：京大\n机构：九九号大展\n位置：重置子宫、一帆开门'}
{'text': '那什么拯救你，大宝冒小疯瑞舍去老师羊羊思绪跑了调咩咩咩噗。。。＝真的是妹子进汉子出。。。滴滴溜儿溜小连韩非子小海快看快看魅色妹子进，汉子归', 'entities': '人物：大宝、瑞舍、老师羊羊、思绪、小连、韩非子、小海、魅色妹子、汉子\n地名：无\n机构：无\n位置：无'}
{'text': '欧美时尚热门榜心谢耳朵。。', 'entities': '人物：无\n地名：欧美\n机构：无\n位置：热门榜'}
{'text': '我叫赵新民流哈子了。。。', 'entities': '人物：赵新民\n地名：流哈子\n机构：无\n位置：未知，需要更多上下文信息。'}
{'text': '起点或终点泪因特古拉燃尽踌躇我爱我的妈妈。', 'entities': '人物：我、我的妈妈\n地名：特古拉\n位置：起点、终点\n机构：无'}
{'text': '看完了，心真的疼斯罗布莱特泪伤不起人与动物以及动物之间的情真意切，悲伤于永久的分离天上人间。', 'entities': '人物：斯罗布莱特\n地名：天上人间\n机构：无\n位置：未指定'}
{'text': '我就是激动雯子小菇凉至于嘛，不久赞了你一下嘛转发苦逼青年杨素晗回复雯子小菇凉主要你夸我我太激动了爱你爱你爱你雯子小菇凉回复苦逼青年杨素晗骗你干吗，真心电到了，越来越有范了，以后跟领导你混了阴险', 'entities': '人物：雯子小菇凉、杨素晗\n地名：无\n机构：无\n位置：无'}
{'text': '华克山庄免税店年末感恩转发微博赢取圣诞好礼笑哈哈朋友不必很多，知心就好；牵挂不必很多，动情就好；地址：', 'entities': '人物：无\n地名：华克山庄免税店\n机构：无\n位置：未提及具体位置'}
{'text': '新浪微博客户端版全新发布你有多久没旅行了？回味旅途点滴，一起来分享旅行中的风景、美食与自拍，完成任务还有大奖哦快开启旅行模式，带着微博去旅行飞机下载地址：', 'entities': '人物：无\n地名：无\n机构：新浪微博\n位置：可能是在新浪微博客户端版中的某个页面或功能区域。'}
{'text': '网友问怀孕两个月可不可以玩手机？，我的回答：没问题。可以玩。一次别玩太久，注意休息来自热门应用妈妈问答，详细内容', 'entities': '人物：网友，我\n地名：无\n机构：妈妈问答\n位置：无'}
{'text': '看见前女友和她的新欢走在一起的时候，已经无处可躲了，只好硬着头皮上去打招呼哎呀，好久不见，你儿子都这么高了。இɷஇ', 'entities': '人物：前女友、她的新欢、你\n地名：无\n机构：无\n位置：无法确定，可能是在公共场合或者街道上。'}
{'text': '亲们，该结婚的都滚去结婚了噢耶啦啦啦啦周康康康康要幺女。', 'entities': '人物：周康康\n地名：无\n机构：无\n位置：无'}
{'text': '草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博', 'entities': '人物：宋灵姣夹夹夹生，小丸子童鞋\n地名：无\n机构：无\n位置：无'}
{'text': '来学校的第一件事就是吃喝赌只能暗叹堕落啊', 'entities': '人物：未指定\n地名：学校\n机构：未指定\n位置：未指定'}
{'text': '发表了博文：踏青偶记踏青偶记闷闷不乐，便开车奔老远的那座山去，求散散心，呼吸点儿新鲜空气。没有看到期待中红色枫叶，见不到想象中的层林尽染，本来有点失望。可错过一道风景，却遇到另一', 'entities': '个惊喜。句子中的人物为“我”，地名为“那座山”，机构和位置没有明确提及。'}
{'text': '新版微博客户端，好听，好看，更好玩自定义个人封面；音、视频直接播放；好友圈好友消息不错过；支持屏蔽广告微博；广场音乐、电影、美食等频道升级。快试试一键听歌：下载地址：', 'entities': '人物：无\n地名：无\n机构：微博\n位置：无'}
{'text': '对科鲁兹说：万能微博元团购百万助购金活动，参与转发活动就可赢取万元助购传播奖，还有万元助购大奖我的朋友们快来参加吧', 'entities': '人物：未明确\n地名：未明确\n机构：万能微博元团购\n位置：未明确'}
{'text': '我正在申请微博达人，微博达人不仅拥有专属的身份标识，炫酷的微博达人勋章，还可以结识更多跟你有共同兴趣爱好的朋友，获得更多粉丝，拥有更多知己，更可优先享受新浪微博各种线上线下达人活动带来的生活便利和优惠。你也来申请吧', 'entities': '人物：我\n地名：无\n机构：新浪微博\n位置：线上线下'}
{'text': '于丹经典语录：你是我的单项选择，其他的都是错误答案', 'entities': '人物：于丹\n地名：无\n机构：无\n位置：无'}
{'text': '麻烦各位同学好友投上你神圣的一票：嘻嘻微博投票：第三届文明班级英语，我爱你', 'entities': '人物：各位同学、好友\n地名：无\n机构：微博\n位置：第三届文明班级英语'}
{'text': '我运动我美丽女人节，我想对你说京东晒·幸福关注广禾堂月子餐官方微博，玩游戏位准妈咪好友，赢免费游台湾我信赖的食品品牌我最喜爱的京东商城品牌春天来了淘宝女装海量新品，你最爱什么风格？', 'entities': '人物：你\n地名：京东、广禾堂、台湾、淘宝\n机构：京东商城、广禾堂月子餐、淘宝女装\n位置：不确定'}
{'text': '汗会不会跟内购一样上不去回头再来个已售罄黑线流浪艺术家明天会不会冷场啊，全世界都在观望刘强东搬个板凳坐在国美、苏宁店里，享受着空调暖气，走走路锻炼身体还可以赚钱退休后干什么？到京东做价格情报员', 'entities': '人物：汗、刘强东\n地名：国美、苏宁、京东\n机构：无\n位置：国美、苏宁店里、京东'}
{'text': '我亦领教过。从化资讯网注意', 'entities': '人物：我\n地名：从化\n机构：资讯网\n位置：未指定'}
{'text': '怒我妈感冒的时候经常吃宁财神凉茶，我', 'entities': '人物：我妈\n地名：无\n机构：宁财神凉茶\n位置：无'}
{'text': '花心花心花心其实是个爱疯的妞宝宝要仔细开启学霸模式还是易昭蹲坑宋宋宋开启放假模式美人鱼宋院长开启学霸模式一起来玩捉迷藏吧小伙伴们有木有兴趣来嗨皮一下哈哈哈哈哈哈', 'entities': '人物：易昭、宋宋宋、美人鱼宋院长\n地名：无\n机构：无\n位置：无'}
{'text': '想在老家让厨艺好的姑妈开家私房菜馆，接待来荔波旅游的游客，让他们尝到当地的美食，但是不知道会不会有生意，来荔波旅游的盆友们怎么样？期待回答呦', 'entities': '人物：姑妈、游客、盆友们\n地名：老家、荔波\n机构：私房菜馆\n位置：荔波旅游区'}
{'text': '育儿小贴士腹泻的孩子要吃些什么呢？继续喂养，母乳喂养儿继续喂母乳喂养，母乳不会加重腹泻。非母乳喂养儿喂米汤、面汤、稀释奶等。一直到腹泻停止后周内都要喂容易消化的食物，否则腹泻停止后还会再次腹泻。避免含粗纤维的蔬菜和水果，高糖食物也会加重腹泻。', 'entities': '人物：无；地名：无；机构：无；位置：无。'}
{'text': '未成年者禁止进入不是我们减不了肥，而是敌人太过强大。。。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '新浪微博四周年丫头哒哒你非带我认识新浪微博，夏至不再来你帮我弄好的新浪微博，徐爱强你是我最早认识的微友哈哈哈哈我在', 'entities': '人物：丫头哒哒、徐爱强\n地名：无\n机构：新浪微博\n位置：无法确定，只知道说话者在使用新浪微博。'}
{'text': '丫头哒哒哈哈，吃货就是你拉哈哈哈哈', 'entities': '人物：丫头\n地名：无\n机构：无\n位置：无'}
{'text': '我参与了华广汽车学院团学实践部发起的投票•第六届汽车文化节之车王争霸赛，我投给了酱油王这个选项。你也快来表态吧：', 'entities': '人物：我\n地名：华广汽车学院\n机构：团学实践部\n位置：第六届汽车文化节'}
{'text': '不是像，而是就是陵猫猫哈哈蔷薇女主播陵猫猫这么像你呢，哈哈', 'entities': '人物：陵猫猫，蔷薇女主播\n地名：无\n机构：无\n位置：无'}
{'text': '特百惠山楂小姐相亲记很棒的活动，奖品我很喜欢，感谢小编为粉丝们争取这么好的活动，期待可以收获一份惊喜地址：', 'entities': '人物：特百惠山楂小姐、小编、粉丝们\n地名：无\n机构：特百惠\n位置：无'}
{'text': '祝粉丝多多，人气旺旺，我顺便也沾沾你的喜气。地址：', 'entities': '句子中的人物：我、粉丝\n地名：无\n机构：无\n位置：无'}
{'text': '我参与了美薇婷的投票大家认为生男孩好还是女孩好，我投给了女孩，你也快来表态吧', 'entities': '人物：我、大家\n地名：美薇婷\n机构：投票\n位置：未知'}
{'text': '成人礼成人礼。。大师兄〜〜〜〜璐温人意', 'entities': '人物：大师兄\n地名：璐温\n机构：无\n位置：不确定，可能是在举行成人礼的场所。'}
{'text': '月号，上午杭州走起。。等我来找你哟。亲爱的嘻嘻嘻嘻嘻嘻嘻嘻嘻嘻我在', 'entities': '人物：无\n地名：杭州\n机构：无\n位置：月号'}
{'text': '和我弟玩这个玩得不亦乐乎，孩纸们还知道这是啥么。抱抱', 'entities': '人物：我、弟弟、孩子们\n地名：无\n机构：无\n位置：无'}
{'text': '我早就知道了包嘉俊周苏飘在水里的蛋炒饭那一抹容颜的老去', 'entities': '人物：包嘉俊、周苏飘\n地名：水里\n位置：蛋炒饭\n机构：无'}
{'text': '诗焱被骗了。。。心理学微小说一直以为是拼的。。。', 'entities': '人物：诗焱\n地名：无\n机构：无\n位置：无'}
{'text': '昆凌和锦荣在一起无语了。。。汗汗汗', 'entities': '人物：昆凌、锦荣\n地名：无\n机构：无\n位置：无法确定'}
{'text': '我叫赵新民什么意思啊？？？', 'entities': '人物：赵新民。'}
{'text': '对南海杨知明说：补充上问：最多可减免班主任工作年限年我的理解：副高评审班主任年限为年，信息技术等学科可减免，但最起码有年班主任是不是这样的意思？', 'entities': '人物：南海杨知明\n地名：南海\n机构：评审机构\n位置：不确定'}
{'text': '我懂你的心泪曾若彤苦逼青年杨素晗知道没？偷笑我为美发狂开心的时候要想起我，难受的时候要记得你还有我。', 'entities': '人物：曾若彤、杨素晗\n地名：无\n机构：无\n位置：无'}
{'text': '分享歌曲，萧亚轩类似爱情我在这里', 'entities': '人物：萧亚轩\n地名：这里\n机构：无\n位置：未知'}
{'text': '哈哈，，，，这张我老妈看了，都无语了丫头哒哒夏至不再来我的犬马你的淡饭我在', 'entities': '很抱歉，这个句子中没有明确的人物、地名、机构和位置，它只是一些词语的组合，没有具体的上下文和语境。'}
{'text': '温人意今天就深有体会好吗毛先森家的江小姐', 'entities': '人物：温人意、毛先森家的江小姐\n地名：无\n机构：无\n位置：无'}
{'text': '我的朋友们你们快点老去吧，我想看看你们的孩子', 'entities': '人物：我的朋友们、你们、孩子们的父母\n地名：无\n机构：无\n位置：无法确定'}
{'text': '滨江森林公园之花朵篇单反没电，用拍的，没想到效果出奇好鼓掌我在', 'entities': '人物：无\n地名：滨江森林公园\n机构：无\n位置：拍照的地点（可能是滨江森林公园内的某个位置）'}
