{'text': '漫步在这山间的小道上', 'predict': '关系名：Located'}
{'text': '弄堂是城镇中的一弯静地', 'predict': '弄堂和城镇中属于"Located"（位于）关系。'}
{'text': '结束了他和波丽娜四十年的传奇恋情。', 'predict': "'他'和'波丽娜'属于'社交关系'，'四十年'属于'时间关系'。"}
{'text': '演出结束后，波丽娜随团离开俄国，屠格涅夫失魂落魄', 'predict': "'团'属于'General-Special'关系，表示波丽娜随着某个团体离开了俄国。\n'屠格涅夫'属于'Part-Whole'关系，表示他是句子中的一个部分，与波丽娜和团体不同。"}
{'text': '有的事要用一生忘记，我的身影在你的眼睛里。', 'predict': "'我'和'我的身影'属于'General-Special'（一般特殊）关系，因为它们是一般概念（人）和特殊实例（我的身影）之间的关系。"}
{'text': '吉水县电视台，活力吉水报的记者先在小学教室里采访了谢南英、谢琢如', 'predict': '关系名：Social'}
{'text': '甄黛玉的儿子、儿媳、女儿、女婿得知母亲住院，都蜂拥似的赶到医院探视。女儿哭诉着对高梓泰说：“我们兄妹几岁，父亲就去世了', 'predict': "'母亲'和'父亲'属于'Family'关系。"}
{'text': '那是这些树叶的“豆蔻年华”，一个个如芭蕾少女似地单腿立在枝桠树梢', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '现在的后门山更是常年树木葱翠、鸟语花香', 'predict': "属于'Located'（位置关系）关系，因为句子表达了后门山的位置和特征。\n\n而'树木'则属于'Part-Whole'（部分-整体）关系，因为它是后门山的一部分。"}
{'text': '此山东与淡竹乡林坑村为邻', 'predict': '此山东与淡竹乡林坑村为邻属于"Near"关系，表示两者相邻或附近。'}
{'text': '翻过那个小山头不远处地上有一滩血，黑瞎子曾在这里歇气。', 'predict': '地上和血属于"Located"（位置关系）的关系。'}
{'text': '母亲疼爱自己的儿女，尤其偏爱我。', 'predict': '关系名：Family'}
{'text': '毛巾、糖果、饼干等礼品。', 'predict': '毛巾和礼品属于“Part-Whole”关系。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'佳茗之乡'属于关系名'旅游之乡'，'瓦屋山'属于关系名'旅游之乡'。"}
{'text': '幽深的峡谷中，一块巨石静卧于空谷之中，清清溪水在巨石脚下欢快地流淌着', 'predict': '关系：Located'}
{'text': '“坐在石山看水中的小蝌蚪或苇叶上的嫩蜻蜓”', 'predict': '属于"Located"关系。'}
{'text': '一个阿姨介绍用一种水鸟(当地叫翠鸟)的唾液蒸蛋能治气管炎的偏方', 'predict': "'一种水鸟'和'气管'属于'General-Special'（一般特殊）关系。"}
{'text': '我看见母亲那颗苦涩的心在滴血', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '瀑布上边的水里沐浴着形象鲜活的石头，一石像蛇', 'predict': '关系：Located、Part-Whole'}
{'text': '随着隆隆的马达声在河水中乘风破浪行驶着。', 'predict': "句子中的'隆隆的马达声'和'河水中'属于'Located'关系。"}
{'text': '听大人们说，后门山是村里的风水山。', 'predict': "'大人们'和'后门山'属于'Located'关系，即'大人们'所在的位置是'后门山'。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'酒城'和'犍为郡'属于关系名为'美酒之乡'的关系。"}
{'text': '可看到几只天牛、细腰黄蜂，支着触角，弓着肚子在吸吮树汁。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '我的家在东北松花江上，那里有森林煤矿，还有那满山遍野的大豆高粱…', 'predict': "'那里'属于'Located'关系，'森林煤矿'属于'Part-Whole'关系。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'茅台'属于关系名'美酒之乡'，'峨眉山'属于关系名'旅游之乡'。"}
{'text': '泥太少，它的根施展不开去;搬进屋里', 'predict': 'Part-Whole（部分-整体）'}
{'text': '黄河长江是中国最宝贵的河道，长江成为中国内河航运的大动脉', 'predict': '\'长江\'和\'中国最宝贵的河道\'属于"Part-Whole"关系。'}
{'text': '时常可以看见头戴草帽的农夫喜悦的脸颊。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '城乡人们都能吃上放心的食品。', 'predict': '\'城乡人们\'和\'放心的食品\'属于"General-Special"（一般特殊）关系。'}
{'text': '他从来就没有离开过党，事实证明侯文玉同志是一名忠于党的好党员------。', 'predict': "'他'和'侯文玉同志'属于Social（社交关系）的关系。"}
{'text': '新娘的身后是她害羞的妹妹，把脸颊靠在她的左肩上', 'predict': "Part-Whole（部分-整体）关系。其中，'妹妹'是新娘的妹妹，是新娘的一部分；'她'指代的是新娘，是整体。"}
{'text': '“我和妻子韩春梅、儿子张民刚来到胡沟时', 'predict': "'妻子'和'张民刚'属于'Family'关系。"}
{'text': '游人自己买票乘电梯下河边的步行道。', 'predict': "'河边的步行道'和'河边'属于'Located'（位置关系）的关系，因为它们描述了物体之间的相对位置。"}
{'text': '家里有妻子和一个呆傻的儿子。', 'predict': '家里和一个呆傻的儿子属于"Part-Whole"（部分-整体）关系。'}
{'text': '做成粑，锅里便是一朵朵盛开的玫瑰。揭开锅盖', 'predict': 'Part-Whole（部分-整体）'}
{'text': '迅速进屋用木杠把门顶住。', 'predict': 'Part-Whole（部分-整体）'}
{'text': '男人围上围腰，俯身抱起谷把子转身走向拌桶两角，甩开臂膀，“砰”', 'predict': 'Part-Whole（部分-整体）关系。男人是句子的主语，臂膀是男人的一部分。'}
{'text': '她们的父亲是当时江山有名的富商', 'predict': "'她们的父亲'和'她们'属于'Family'（家庭）关系。"}
{'text': '五爷家的土屋院西墙门楼紧靠金砀公路东边，北面有一条通往村里的土路。孙进友家长着瓦松的青瓦房挡在五爷家南面;与东邻王恩典家只一截矮墙之隔。', 'predict': "关系：Part-Whole。 '土屋院'和'青瓦房'是五爷家和孙进友家的房屋的一部分。"}
{'text': '我在成都帮助姨爹做小生意', 'predict': "'我'和'姨爹'属于'Family'（家庭）关系。"}
{'text': '它们经历千百年风刀沙斧的讨伐，有的头断臂折，有的皮撕肉裂', 'predict': 'Part-Whole（部分-整体）'}
{'text': '揉进了我的缕缕情思。在我儿子还在读初三的时候，朋友送我一盆红枫盆景。', 'predict': "'我'和'朋友'属于'Social'（社交）关系，因为他们是朋友关系。"}
{'text': '河蚬钻在洞穴里是不动', 'predict': "根据这个句子，'河蚬'和'洞穴'属于'Located'（位置关系）的关系。因为'河蚬'被描述为在'洞穴'里。"}
{'text': '恰好河底下有一只河蚬正张开双两个贝壳，蔡妮的舌头不偏不歪的掉在贝壳中', 'predict': '关系：Part-Whole'}
{'text': '晴空湛蓝如洗，近坡绿草如毯', 'predict': '属于"Near"关系。'}
{'text': '西藏之水给了我太多的回忆：那皑皑雪峰、滔滔江流和蓝蓝错水，那青藏铁路路基旁的大片湿地，那羊八井的沸泉与热池', 'predict': "'那青藏铁路路基旁的大片湿地'属于'Located'关系，因为它描述了青藏铁路路基旁的位置。\n\n'大片湿地'属于'Part-Whole'关系，因为它描述了青藏铁路路基旁的一部分。"}
{'text': '一块块梯田状、不规则的庄稼地，披上了一层金黄色的盛装，有高粱粟，有水稻，有玉米，有黄豆等等。', 'predict': '\'庄稼地\'和\'玉米\'属于"Part-Whole"（部分-整体）关系。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'酒城'属于关系名'美酒之乡'，'旅游之乡'属于关系名'旅游之乡'。"}
{'text': '<N>年，西洞庭摘得了“全国红旗农场”的桂冠，<N>年被评为“全国农垦先进单位”，<N>年', 'predict': '\'西洞庭\'和\'“全国农垦先进单位”\'属于"General-Special"（一般特殊）关系。'}
{'text': '到家门口时，候鸟突然从天空俯冲而下', 'predict': "关系：Located\n'候鸟'和'天空'属于Located关系，表示它们的位置关系。"}
{'text': '她能向谁诉说呢?三母亲的心很悲苦。这不仅在她年轻时失去丈夫，她抚育我们历尽艰难困苦', 'predict': "'母亲'和'丈夫'属于'Family'关系。"}
{'text': '一个阿姨介绍用一种水鸟(当地叫翠鸟)的唾液蒸蛋能治气管炎的偏方', 'predict': 'Part-Whole（部分-整体）'}
{'text': '乡间的鸡鸣犬吠、虫琴蛙鼓定是追着了我的屁股，在我深一脚浅一脚的足迹里躲藏着，一直跟随我来到了都市，不然，好多个梦里，怎么老听到它们唤我回家。', 'predict': '犬属于"Near"关系，而它们属于"Part-Whole"关系。'}
{'text': '四月二十八日我接到绥化铁路司机录取通知书。', 'predict': '关系名：Part-Whole\n\n解释：在这个句子中，“四月二十八日”和“司机”都是整体的一部分，整体是“绥化铁路司机录取通知书”。因此，它们之间的关系是Part-Whole（部分-整体）关系。'}
{'text': '一位姓沈的老者从河底钩上一只蚬子，他从铁钩上取下蚬子时对我们说：“你们平时只知道钩蚬子', 'predict': "'他'属于'General-Special'关系，指代前文提到的姓沈的老者。'铁钩'属于'Part-Whole'关系，是钓蚬子所用的工具的一部分。"}
{'text': '蚬肉具有很高的营养价值，它有清热润肺的功效，含有丰富蛋白质和各种维生素。有独特的淮河风味。特别是春天的淮河蚬肉更为鲜嫩可口。', 'predict': "'蚬肉'属于'Part-Whole'关系，'丰富蛋白质和各种维生素'属于'General-Special'关系。"}
{'text': '家人把敞廊加上门窗，遂成为巴金写作、会客的地方。', 'predict': "'敞廊'和'门窗'属于'Part-Whole'关系，因为它们是构成'巴金写作、会客的地方'的组成部分。"}
{'text': '乡间的鸡鸣犬吠、虫琴蛙鼓定是追着了我的屁股，在我深一脚浅一脚的足迹里躲藏着，一直跟随我来到了都市，不然，好多个梦里，怎么老听到它们唤我回家。', 'predict': '关系：Part-Whole。'}
{'text': '归楞、装车用装载机，快捷省力省时间，现代的林业工人是幸福的。', 'predict': "根据句子，'装载机'属于Part-Whole关系，因为它是归楞的一部分；'现代的林业工人'属于Social关系，因为它是句子中的一个社会群体。"}
{'text': '就经常到这口井里挑水，我家住在村西头，要穿过瓶窑街', 'predict': "'我家'属于'Ownership'关系，'村西头'属于'Located'关系。"}
{'text': '淮河蚬是生长在淮河水底泥土里的一种贝类软体动物', 'predict': '关系名：Part-Whole'}
{'text': '她一手捂着胸口', 'predict': 'Part-Whole（部分-整体）'}
{'text': '只见五爷一大早挑着货郎挑子出门，手里拎个拨浪鼓', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '因为那里有我的外婆和舅舅，母亲企盼着得到他们的温暖和照顾。', 'predict': "'舅舅'和'母亲'属于'Family'（家庭）关系。"}
{'text': '乡里从村里选拔文艺骨干参加县里的汇演，他俩就是那时认识的。他会拉，她会唱;她台上', 'predict': "'文艺骨干'属于'Part-Whole'关系，指乡里从村里选拔出的一部分文艺人才参加县里的汇演。\n\n'他俩'属于'Social'关系，指他和她在文艺汇演中相识并建立了社交关系。"}
{'text': '淮河蚬是淮河里的独特产物。', 'predict': '关系名：Located。'}
{'text': '上有蓝天白云，树上偶尔飞来几只麻雀、蓝鹊驻足。', 'predict': '树和蓝鹊属于"Located"（位置关系）的关系，因为它们都被描述在上述场景中的特定位置。'}
{'text': '人人都有自己的梦想，有的想做医生，有的想做将军，有的想做科学家……而我的心里也一直有一个梦想：我要与爱同行', 'predict': '关系：General-Special'}
{'text': '却渐渐吹疼了我的心，我的眼睛早被风沙迷住', 'predict': "句子中的'我'和'眼睛'属于Part-Whole（部分-整体）关系。"}
{'text': '这时从路边小屋里走出来一个好心的大叔，他先把我领到家里给我吃了一个滚热的山芋', 'predict': '关系：General-Special'}
{'text': '的取向么?邻居还说，他有一个熟人，政府给他安排好生活了', 'predict': '他和政府属于"General-Special"（一般特殊）关系。'}
{'text': '上海的武康路是条很有法国风情的路', 'predict': '属于"Located"（位置）关系，其中"上海"是"武康路"的所在地。'}
{'text': '女人则理所当然陪客座谈。', 'predict': "根据句子，'女人'和'客'属于Social（社交）关系。"}
{'text': '发现婆婆王氏正在与临船上的一位男子偷情。', 'predict': '社交关系。'}
{'text': '也挣不多少钱;而现代的农民，春耕运用不同型号的播种机播种，夏季使用农药杀虫灭草', 'predict': "'现代的农民'和'农药'属于'General-Special'关系。"}
{'text': '是对疼她、关心她的人给以无情的伤害和打击。我想，这种人要自救', 'predict': "'她'属于Social关系，'这种人'属于General-Special关系。"}
{'text': '我们的祖先把它们与梅花、兰草和菊花并列在一起，称为“四君子”', 'predict': 'Part-Whole。'}
